typ;label;conc;test
CNG;corn gluten;76.603981;0
FRG;wheat (ung);15.96;0
TTS;soya meal;50.1474495;0
FRG;wheat (ung);10.3999996;0
EHH;grass silage;11.9799995;0
ANF;animal feed;53.9289436;0
FFS;full fat soya;41.8060684;0
SFG;sun flower seed(gr);20.289381;0
MPW;milk powder & whey;11.7771349;0
TTS;soya meal;50.3370781;0
EHH;grass silage;27.4599991;0
SFG;sun flower seed(gr);20.9371834;0
TTS;soya meal;52.1934738;0
ANF;animal feed;51.0756073;0
FRG;wheat (ung);12.6300001;0
EHH;grass silage;14.7399998;0
TTS;soya meal;54.5050049;0
FFS;full fat soya;40.3092613;0
PEE;maize wp;6.9000001;0
CNG;corn gluten;72.1489258;0
FFS;full fat soya;40.6557655;0
TTS;soya meal;51.0204086;0
SFG;sun flower seed(gr);15.1913176;0
ANF;animal feed;50.0882912;0
SFG;sun flower seed(gr);13.0227327;0
ANF;animal feed;52.043045;0
ANF;animal feed;52.7342949;0
CNG;corn gluten;71.0346985;0
MPW;milk powder & whey;30.6820049;0
SFG;sun flower seed(gr);22.5649738;0
CLZ;rapeseed(ung);15.75;0
TTS;soya meal;53.0821915;0
MPW;milk powder & whey;36.5179329;0
EHH;grass silage;21.7000008;0
FRG;wheat (ung);12.9300003;0
SFG;sun flower seed(gr);12.99722;0
TTS;soya meal;53.0963326;0
MPW;milk powder & whey;11.6658192;0
MPW;milk powder & whey;7.0147648;0
EHH;grass silage;28.3999996;0
FRG;wheat (ung);12.2299995;0
PEE;maize wp;8.4199991;0
PEE;maize wp;7.3000002;0
CLZ;rapeseed(ung);15.6199999;0
ANF;animal feed;50.7958641;0
CNG;corn gluten;66.1050186;0
MPW;milk powder & whey;11.496376;0
EHH;grass silage;19.5599995;0
FRG;wheat (ung);13.3999996;0
ANF;animal feed;48.9421349;0
SFG;sun flower seed(gr);13.0927057;0
CNG;corn gluten;69.5816727;0
CNG;corn gluten;67.2694702;0
CNG;corn gluten;71.762558;0
TTS;soya meal;50.4009132;0
ANF;animal feed;55.5578156;0
CLZ;rapeseed(ung);22.2399998;0
SFG;sun flower seed(gr);16.160181;0
CNG;corn gluten;70.7805939;0
CLZ;rapeseed(ung);22.2553997;0
SFG;sun flower seed(gr);14.6144476;0
EHH;grass silage;17.5;0
SFG;sun flower seed(gr);19.931303;0
CLZ;rapeseed(ung);27.2999992;0
FRG;wheat (ung);11.0900002;0
SFG;sun flower seed(gr);20.683569;0
CNG;corn gluten;64.5336533;0
FFS;full fat soya;39.740509;0
CNG;corn gluten;59.9337082;0
EHH;grass silage;8.8900003;0
TTS;soya meal;53.1843567;0
SFG;sun flower seed(gr);15.1713572;0
FRG;wheat (ung);12.6000004;0
EHH;grass silage;11.46;0
EHH;grass silage;14.8100004;0
EHH;grass silage;10.8199997;0
EHH;grass silage;7.73;0
EHH;grass silage;17.5900002;0
MPW;milk powder & whey;37.1470604;0
TTS;soya meal;55.0499458;0
CLZ;rapeseed(ung);20.1499996;0
FFS;full fat soya;40.7443581;0
MPW;milk powder & whey;27.9054089;0
CLZ;rapeseed(ung);19.2199993;0
CNG;corn gluten;68.4667969;0
MPW;milk powder & whey;10.9728432;0
CLZ;rapeseed(ung);17.0599995;0
SFG;sun flower seed(gr);18.3719425;0
ANF;animal feed;46.627636;0
SFG;sun flower seed(gr);19.2767353;0
MPW;milk powder & whey;12.5528431;0
CLZ;rapeseed(ung);25.2460003;0
CNG;corn gluten;66.6188278;0
CLZ;rapeseed(ung);16.9772053;0
CNG;corn gluten;68.8681335;0
FRG;wheat (ung);11.6000004;0
FRG;wheat (ung);11.9049997;0
MPW;milk powder & whey;13.1788101;0
ANF;animal feed;46.3538857;0
FFS;full fat soya;38.9453697;0
SFG;sun flower seed(gr);17.982151;0
MPW;milk powder & whey;21.9185352;0
SFG;sun flower seed(gr);11.9454193;0
CLZ;rapeseed(ung);21.2000008;0
CNG;corn gluten;72.3178711;0
FFS;full fat soya;40.2407455;0
ANF;animal feed;51.3698387;0
TTS;soya meal;50.558036799999996;0
TTS;soya meal;51.4908257;0
TTS;soya meal;51.9640846;0
ANF;animal feed;53.0169945;0
TTS;soya meal;55.056179;0
FRG;wheat (ung);12.8100004;0
MPW;milk powder & whey;24.6180191;0
EHH;grass silage;13.04;0
FFS;full fat soya;39.749176;0
SFG;sun flower seed(gr);14.2733688;0
MPW;milk powder & whey;5.4642477;0
EHH;grass silage;10.3199997;0
FRG;wheat (ung);12.0699997;0
EHH;grass silage;11.4099998;0
ANF;animal feed;48.550106;0
FFS;full fat soya;40.6221657;0
PEE;maize wp;6.5900002;0
PEE;maize wp;7.7399998;0
CNG;corn gluten;69.6612854;0
TTS;soya meal;52.4027443;0
CNG;corn gluten;74.7222672;0
TTS;soya meal;52.9209595;0
FRG;wheat (ung);12.0066671;0
CNG;corn gluten;68.4970169;0
TTS;soya meal;53.9071312;0
ANF;animal feed;52.7840424;0
TTS;soya meal;53.8121529;0
PEE;maize wp;7.6100001;0
TTS;soya meal;56.3428574;0
ANF;animal feed;57.2430725;0
PEE;maize wp;8.0100002;0
MPW;milk powder & whey;38.5752106;0
FRG;wheat (ung);12.6000004;0
PEE;maize wp;5.2399998;0
FRG;wheat (ung);12.1750002;0
PEE;maize wp;6.3400002;0
SFG;sun flower seed(gr);11.0858812;0
EHH;grass silage;25.0599995;0
CLZ;rapeseed(ung);20.1800003;0
CNG;corn gluten;64.790657;0
FFS;full fat soya;41.6196632;0
SFG;sun flower seed(gr);17.6062698;0
FFS;full fat soya;42.0426712;0
ANF;animal feed;53.3548546;0
FFS;full fat soya;44.0557365;0
MPW;milk powder & whey;11.8753757;0
SFG;sun flower seed(gr);15.273551;0
FFS;full fat soya;40.343956;0
PEE;maize wp;6.4199996;0
SFG;sun flower seed(gr);17.9894943;0
EHH;grass silage;14.9399996;0
CLZ;rapeseed(ung);28.1499996;0
EHH;grass silage;18.9200001;0
ANF;animal feed;53.3266907;0
EHH;grass silage;19.5199986;0
MPW;milk powder & whey;13.4520359;0
CLZ;rapeseed(ung);20.1399994;0
EHH;grass silage;14.4699993;0
MPW;milk powder & whey;26.0281792;0
FRG;wheat (ung);11.3800001;0
FRG;wheat (ung);11.1099997;0
EHH;grass silage;11.3599997;0
CNG;corn gluten;65.932457;0
ANF;animal feed;51.3801003;0
MPW;milk powder & whey;25.4054413;0
SFG;sun flower seed(gr);14.8962641;0
TTS;soya meal;51.4840202;0
FFS;full fat soya;43.1171036;0
MPW;milk powder & whey;27.4020748;0
MPW;milk powder & whey;38.6894226;0
PEE;maize wp;9.3999996;0
CNG;corn gluten;64.6411362;0
ANF;animal feed;56.8746758;0
MPW;milk powder & whey;5.3464599;0
MPW;milk powder & whey;10.8003235;0
SFG;sun flower seed(gr);14.025423;0
ANF;animal feed;49.7316322;0
TTS;soya meal;54.9199066;0
MPW;milk powder & whey;38.7130318;0
SFG;sun flower seed(gr);21.6715984;0
SFG;sun flower seed(gr);19.4695206;0
MPW;milk powder & whey;12.4551764;0
FFS;full fat soya;40.0605965;0
TTS;soya meal;48.0136223;0
MPW;milk powder & whey;22.5860367;0
EHH;grass silage;15.7799997;0
ANF;animal feed;54.4800034;0
MPW;milk powder & whey;7.1649027;0
SFG;sun flower seed(gr);16.5466671;0
FRG;wheat (ung);11.3999996;0
EHH;grass silage;14.1300001;0
SFG;sun flower seed(gr);16.9521523;0
FFS;full fat soya;45.6005974;0
MPW;milk powder & whey;27.01408;0
SFG;sun flower seed(gr);21.4304962;0
PEE;maize wp;6.0300002;0
SFG;sun flower seed(gr);17.7986603;0
FRG;wheat (ung);9.6529999;0
CLZ;rapeseed(ung);21.9899998;0
MPW;milk powder & whey;5.3411469;0
CNG;corn gluten;69.9498215;0
PEE;maize wp;7.8599997;0
SFG;sun flower seed(gr);14.1178093;0
FFS;full fat soya;41.8192139;0
SFG;sun flower seed(gr);16.4218502;0
FFS;full fat soya;38.3453331;0
SFG;sun flower seed(gr);14.9142609;0
SFG;sun flower seed(gr);18.4717712;0
FFS;full fat soya;46.9571648;0
PEE;maize wp;7.1300001;0
SFG;sun flower seed(gr);14.3105545;0
TTS;soya meal;52.3917961;0
PEE;maize wp;5.8200002;0
PEE;maize wp;7.3599997;0
CLZ;rapeseed(ung);20.9149284;0
MPW;milk powder & whey;12.7920294;0
CLZ;rapeseed(ung);25.6399994;0
MPW;milk powder & whey;38.125;0
CNG;corn gluten;66.5961151;0
EHH;grass silage;17.9799995;0
CNG;corn gluten;74.9751434;0
FFS;full fat soya;39.876091;0
CLZ;rapeseed(ung);18.9500008;0
SFG;sun flower seed(gr);16.7595024;0
FRG;wheat (ung);10.7999992;0
FFS;full fat soya;45.9093666;0
MPW;milk powder & whey;13.8916931;0
EHH;grass silage;14.3000002;0
FRG;wheat (ung);13.0699997;0
TTS;soya meal;52.3917961;0
FFS;full fat soya;43.7054367;0
CLZ;rapeseed(ung);21.3299999;0
PEE;maize wp;9.4200001;0
TTS;soya meal;54.910717;0
EHH;grass silage;16.4799995;0
EHH;grass silage;12.7799997;0
FRG;wheat (ung);11.1899996;0
EHH;grass silage;12.3500004;0
FRG;wheat (ung);12.6300001;0
FRG;wheat (ung);11.71;0
FRG;wheat (ung);12.8599997;0
FFS;full fat soya;41.0887489;0
EHH;grass silage;10.5;0
FFS;full fat soya;41.5745087;0
CNG;corn gluten;66.6169128;0
MPW;milk powder & whey;39.5028877;0
EHH;grass silage;12.3400002;0
PEE;maize wp;7.2600002;0
ANF;animal feed;53.1381073;0
PEE;maize wp;7.2600002;0
FRG;wheat (ung);12.5699997;0
FFS;full fat soya;40.073719;0
FRG;wheat (ung);11.4099998;0
FRG;wheat (ung);11.6499996;0
EHH;grass silage;11.8699999;0
EHH;grass silage;17.5799999;0
TTS;soya meal;54.8974915;0
SFG;sun flower seed(gr);20.5461311;0
MPW;milk powder & whey;33.2951775;0
FRG;wheat (ung);9.9399996;0
EHH;grass silage;13.29;0
TTS;soya meal;53.9700813;0
FFS;full fat soya;40.7726059;0
ANF;animal feed;49.7360458;0
SFG;sun flower seed(gr);16.9747105;0
CLZ;rapeseed(ung);19.9200001;0
CLZ;rapeseed(ung);22.3999996;0
ANF;animal feed;53.8257942;0
ANF;animal feed;56.2523232;0
FFS;full fat soya;39.4136963;0
FRG;wheat (ung);11.5999994;0
FFS;full fat soya;41.5658646;0
CNG;corn gluten;65.6515961;0
FRG;wheat (ung);12.79;0
ANF;animal feed;59.4088898;0
CLZ;rapeseed(ung);24.5021;0
CLZ;rapeseed(ung);21.7800007;0
CLZ;rapeseed(ung);16.4899998;0
CNG;corn gluten;66.053894;0
TTS;soya meal;53.8895187;0
SFG;sun flower seed(gr);17.9737644;0
CNG;corn gluten;64.0164642;0
CNG;corn gluten;67.116478;0
PEE;maize wp;10.3900003;0
CLZ;rapeseed(ung);22.4400005;0
MPW;milk powder & whey;12.3762169;0
ANF;animal feed;49.9328346;0
PEE;maize wp;8.2200003;0
PEE;maize wp;8.5600004;0
EHH;grass silage;14.8800001;0
TTS;soya meal;52.3321953;0
MPW;milk powder & whey;10.1712389;0
CNG;corn gluten;62.7882233;0
CLZ;rapeseed(ung);19.6000004;0
SFG;sun flower seed(gr);15.3534155;0
ANF;animal feed;59.1429253;0
CLZ;rapeseed(ung);20.9500008;0
CNG;corn gluten;67.0460968;0
CNG;corn gluten;66.3294601;0
SFG;sun flower seed(gr);12.9549923;0
MPW;milk powder & whey;11.5366812;0
FRG;wheat (ung);11.5;0
SFG;sun flower seed(gr);14.3400059;0
FRG;wheat (ung);11.8999996;0
CNG;corn gluten;64.2354584;0
CNG;corn gluten;74.1804352;0
ANF;animal feed;55.2365646;0
CNG;corn gluten;69.8161163;0
CLZ;rapeseed(ung);18.9200001;0
FRG;wheat (ung);11.9949999;0
CLZ;rapeseed(ung);19.6499996;0
FFS;full fat soya;39.7515755;0
FRG;wheat (ung);10.2399998;0
CNG;corn gluten;68.383316;0
FFS;full fat soya;40.8975449;0
FFS;full fat soya;39.268856;0
PEE;maize wp;7.3699999;0
MPW;milk powder & whey;40.0251617;0
TTS;soya meal;51.5050201;0
PEE;maize wp;6.8200002;0
FRG;wheat (ung);12.5;0
ANF;animal feed;54.097271;0
SFG;sun flower seed(gr);12.3150187;0
FRG;wheat (ung);11.1999998;0
ANF;animal feed;50.7119675;0
CNG;corn gluten;65.6708145;0
ANF;animal feed;52.6118355;0
MPW;milk powder & whey;24.0163937;0
FFS;full fat soya;43.1500168;0
FFS;full fat soya;42.9504662;0
SFG;sun flower seed(gr);14.791317;0
FRG;wheat (ung);12.1599998;0
TTS;soya meal;53.485714;0
FFS;full fat soya;45.2348671;0
CNG;corn gluten;75.4008255;0
CNG;corn gluten;68.0404816;0
FFS;full fat soya;39.868351;0
FFS;full fat soya;39.5072632;0
FRG;wheat (ung);11.0699997;0
EHH;grass silage;14.3299999;0
CLZ;rapeseed(ung);22.4099998;0
FRG;wheat (ung);11.1899996;0
EHH;grass silage;12.0299997;0
TTS;soya meal;52.2779007;0
PEE;maize wp;7.1060309;0
SFG;sun flower seed(gr);13.0969229;0
TTS;soya meal;52.7459946;0
CLZ;rapeseed(ung);22.7000008;0
PEE;maize wp;10.04;0
CNG;corn gluten;70.4549179;0
MPW;milk powder & whey;13.6896906;0
PEE;maize wp;6.8499999;0
EHH;grass silage;14.1999998;0
MPW;milk powder & whey;10.6128006;0
SFG;sun flower seed(gr);16.3194599;0
ANF;animal feed;55.7631912;0
CLZ;rapeseed(ung);19.3500004;0
MPW;milk powder & whey;37.0686836;0
PEE;maize wp;9.0499992;0
ANF;animal feed;52.2460632;0
SFG;sun flower seed(gr);21.5057716;0
CNG;corn gluten;69.3350906;0
MPW;milk powder & whey;12.8983011;0
FFS;full fat soya;41.5507469;0
MPW;milk powder & whey;38.0312729;0
CNG;corn gluten;65.196228;0
CLZ;rapeseed(ung);18.9299984;0
TTS;soya meal;53.8724365;0
SFG;sun flower seed(gr);14.7221107;0
EHH;grass silage;13.8000002;0
EHH;grass silage;10.5699997;0
MPW;milk powder & whey;38.8932762;0
MPW;milk powder & whey;25.8213367;0
CLZ;rapeseed(ung);26.6299992;0
FRG;wheat (ung);12.3100004;0
EHH;grass silage;18.75;0
MPW;milk powder & whey;37.2423286;0
ANF;animal feed;47.5631714;0
FRG;wheat (ung);12.25;0
FRG;wheat (ung);11.2999992;0
PEE;maize wp;8.8100004;0
ANF;animal feed;59.7293892;0
PEE;maize wp;8.79;0
SFG;sun flower seed(gr);19.6995697;0
EHH;grass silage;15.3999996;0
SFG;sun flower seed(gr);14.6795921;0
TTS;soya meal;51.7977524;0
TTS;soya meal;52.5951576;0
SFG;sun flower seed(gr);10.4886084;0
EHH;grass silage;11.6499996;0
EHH;grass silage;9.9700003;0
FRG;wheat (ung);12.1999998;0
CNG;corn gluten;75.4907074;0
SFG;sun flower seed(gr);19.3177719;0
FRG;wheat (ung);13.4269991;0
FFS;full fat soya;40.4377785;0
ANF;animal feed;57.3992043;0
SFG;sun flower seed(gr);13.0806398;0
FFS;full fat soya;39.8940582;0
CNG;corn gluten;62.24263;0
MPW;milk powder & whey;22.8027878;0
CLZ;rapeseed(ung);17.6000004;0
TTS;soya meal;47.5917435;0
TTS;soya meal;48.8452682;0
MPW;milk powder & whey;37.5609818;0
FRG;wheat (ung);12.5500002;0
TTS;soya meal;53.7795105;0
FRG;wheat (ung);12.2999992;0
CLZ;rapeseed(ung);18.8799992;0
CNG;corn gluten;62.1658936;0
EHH;grass silage;5.5900002;0
EHH;grass silage;7.6300001;0
MPW;milk powder & whey;37.3248749;0
FRG;wheat (ung);11.5600004;0
CLZ;rapeseed(ung);19.0100002;0
FRG;wheat (ung);12.6000004;0
CNG;corn gluten;66.1656113;0
FRG;wheat (ung);13.5999994;0
MPW;milk powder & whey;38.0004158;0
CLZ;rapeseed(ung);19.0900002;0
FFS;full fat soya;36.3792534;0
TTS;soya meal;54.1905861;0
CLZ;rapeseed(ung);16.2000008;0
FFS;full fat soya;40.6517334;0
CNG;corn gluten;65.9732971;0
PEE;maize wp;8.9499998;0
EHH;grass silage;17.8999996;0
SFG;sun flower seed(gr);14.447567;0
TTS;soya meal;54.3454323;0
TTS;soya meal;52.2883301;0
ANF;animal feed;50.0635185;0
MPW;milk powder & whey;23.8990746;0
PEE;maize wp;5.77;0
FFS;full fat soya;42.0403709;0
TTS;soya meal;56.6820259;0
SFG;sun flower seed(gr);15.8876772;0
CNG;corn gluten;68.5294418;0
TTS;soya meal;49.5485344;0
EHH;grass silage;15.9399996;0
SFG;sun flower seed(gr);21.0237274;0
CLZ;rapeseed(ung);20.3600006;0
CNG;corn gluten;62.3791351;0
MPW;milk powder & whey;37.1704369;0
MPW;milk powder & whey;14.4700317;0
TTS;soya meal;54.926384;0
SFG;sun flower seed(gr);11.4379139;0
