dm;ndf;typ;test
93.73;49.39720473701056;Legume forages;0
93.63;67.5424543415572;Legume forages;0
93.59;45.80617587349076;Legume forages;1
93.42;51.070434596446155;Legume forages;0
91.91;55.412903927755416;Cereal and grass forages;1
91.7;55.74700109051254;Cereal and grass forages;0
92.26;58.226750487752;Cereal and grass forages;0
93.42;56.294155427103405;Cereal and grass forages;0
93.77;49.237496000853156;Cereal and grass forages;0
93.1;22.96455424274973;Legume forages;0
93.46;22.55510378771667;Legume forages;0
93.24;46.75032175032175;Legume forages;1
94.58;41.66842884330725;Legume forages;0
94.11;70.50260333652108;Cereal and grass forages;1
94.32;66.53944020356235;Cereal and grass forages;0
94.03;31.394235882165265;Legume forages;0
94.79;57.295073319970456;Legume forages;1
93.45;43.3493846976993;Legume forages;1
92.61;31.75682971601339;Legume forages;0
93.66;41.20222079863336;Legume forages;1
93.24;45.12012012012012;Cereal and grass forages;1
93.61;44.931097105010146;Forage trees;1
93.58;53.0455225475529;Cereal and grass forages;0
93.19;18.424723682798586;Legume forages;0
94.78;40.48322430892593;Forage trees;0
93.65;51.639081687132936;Cereal and grass forages;1
92.63;25.72600669329591;Legume forages;0
96.17;37.21534782156598;Forage trees;0
93.71;48.42599509123893;Forage trees;0
92.88;35.9603789836348;Forage trees;1
93.47;63.94565101101958;Forage trees;1
93.41;40.83074617278664;Forage trees;0
94.0;45.191489361702125;Forage trees;0
93.28;38.66852487135506;Forage trees;0
96.27;41.79910667913161;Forage trees;0
93.25;42.98123324396783;Forage trees;1
93.39;44.56579933611736;Forage trees;1
93.36;51.67095115681234;Forage trees;1
93.21;50.895826628044205;Forage trees;1
93.78;54.85178076348902;Forage trees;0
93.77;38.4238029220433;Forage trees;1
94.38;38.52511125238398;Forage trees;1
92.47;42.91121444792906;Forage trees;0
93.51;39.46102021174206;Forage trees;0
87.92;41.02593266606005;Legume forages;0
88.98;57.260058440098895;Cereal and grass forages;1
90.7;51.16868798235942;Legume forages;0
90.48;52.40937223695844;Legume forages;0
92.89;64.57099795456992;Legume forages;0
92.68;63.3038411739318;Legume forages;0
91.71000000000001;56.18798386217424;Legume forages;0
92.24;59.984822202948834;Legume forages;0
92.67;45.80770475882162;Legume forages;0
90.5;63.92265193370166;Legume forages;1
89.56;41.80437695399732;Legume forages;0
89.56;40.17418490397498;Legume forages;1
90.5;46.13259668508287;Legume forages;0
89.78999999999999;46.163269851876606;Legume forages;1
89.52;62.745755138516536;Cereal and grass forages;0
90.75;62.67768595041322;Cereal and grass forages;0
86.55;48.46909300982092;Cereal and grass forages;0
84.86;50.04713646005185;Cereal and grass forages;0
92.44;80.8740804846387;Cereal and grass forages;0
92.77;74.21580252236714;Cereal and grass forages;0
92.66;78.90135981005828;Cereal and grass forages;1
93.17;81.91477943544058;Cereal and grass forages;1
94.88;43.644603709949415;Legume forages;0
96.18;77.78124350176752;Cereal and grass forages;1
95.82;71.27948236276352;Cereal and grass forages;0
95.72;77.94609277058086;Cereal and grass forages;0
92.63;40.0518190650977;Forage trees;1
93.45;51.118245050829316;Forage trees;0
92.38;58.82225589954536;Forage trees;1
91.74;59.37431872683671;Forage trees;0
91.98;31.028484453141985;Forage trees;0
92.2;63.329718004338396;Forage trees;1
91.48;35.43944031482291;Forage trees;1
92.38;40.593201991773114;Forage trees;0
90.16;59.36113575865129;Forage trees;1
92.4;38.484848484848484;Legume forages;1
91.5;58.81967213114754;Forage trees;0
94.05;45.75225943646996;Forage trees;1
94.46;68.62163878890536;Forage trees;1
92.9;63.466092572658766;Cereal and grass forages;0
90.24;53.04742907801419;Cereal and grass forages;1
89.7;54.12486064659978;Cereal and grass forages;0
90.86;42.75808936825886;Cereal and grass forages;0
93.55;67.27952966328166;Cereal and grass forages;0
90.63;36.82003751517157;Cereal and grass forages;1
93.42;55.14879040890602;Cereal and grass forages;0
93.59;62.29298001923282;Cereal and grass forages;1
94.96;33.213984835720304;Legume forages;0
90.14;45.5513645440426;Cereal and grass forages;1
91.75;48.752043596730246;Cereal and grass forages;1
89.27;52.86210373025653;Cereal and grass forages;0
90.44;52.32198142414861;Cereal and grass forages;0
94.98;35.47062539481996;Legume forages;1
92.8;60.2801724137931;Legume forages;0
93.36;62.44644387317909;Legume forages;1
94.29;54.650546187294516;Legume forages;0
92.45;54.8512709572742;Legume forages;0
92.53;55.9926510320977;Legume forages;0
92.13;55.79073048952567;Forage trees;1
91.42;59.35243929118355;Legume forages;0
92.08;50.369244135534316;Forage trees;1
92.16;61.03515625;Forage trees;0
94.25;55.94694960212202;Cereal and grass forages;0
94.87;27.564034995256666;Forage trees;1
93.79;34.59857127625547;Forage trees;0
94.89;28.179997892296342;Forage trees;1
91.77;32.71221532091097;Legume forages;0
93.74;41.88180072541071;Legume forages;0
92.03;63.84874497446485;Legume forages;0
93.18;27.344923803391282;Legume forages;1
91.46000000000001;25.748961294554995;Legume forages;0
93.63;37.81907508277261;Legume forages;1
93.12;19.57689003436426;Forage trees;0
92.08;36.142484795829716;Forage trees;0
93.44;51.048801369863014;Forage trees;0
94.02;43.03339714954265;Forage trees;1
95.52;32.3178391959799;Forage trees;0
93.29;23.635973844999462;Forage trees;1
93.22;30.369019523707358;Legume forages;0
91.28999999999999;68.73699200350532;Cereal and grass forages;0
92.74;85.72352814319603;Cereal and grass forages;1
91.19;30.233578243228425;Legume forages;1
90.25;23.74515235457064;Legume forages;0
92.1;36.04777415852335;Legume forages;1
94.17;79.56886481894448;Cereal and grass forages;1
92.51;52.17814290346989;Cereal and grass forages;0
91.41;40.487911607045184;Legume forages;0
90.49;36.35760857553321;Legume forages;0
94.13;55.10464251566982;Legume forages;1
93.31;59.00760904511842;Legume forages;1
92.28;42.63112267013438;Forage trees;1
93.11;62.23821286650199;Forage trees;0
92.21;49.170371977009005;Legume forages;1
94.65;69.8362387744321;Cereal and grass forages;1
93.98;63.577356884443496;Cereal and grass forages;0
94.28;62.28256257955027;Cereal and grass forages;1
93.39;79.47317699967877;Cereal and grass forages;1
90.92;26.75978882534096;Legume forages;1
94.38;29.942784488239035;Legume forages;0
90.33;41.93512675744493;Forage trees;1
92.66;55.81696524929851;Cereal and grass forages;0
93.13;60.96853860195426;Cereal and grass forages;0
93.22;56.629478652649645;Cereal and grass forages;1
92.9;58.9989235737352;Cereal and grass forages;1
92.6;59.04967602591793;Cereal and grass forages;0
93.09;52.31496401332044;Cereal and grass forages;1
94.36;60.39635438745231;Cereal and grass forages;0
92.82;59.00667959491489;Cereal and grass forages;0
92.26;60.806416648601775;Cereal and grass forages;1
93.31;63.15507448290644;Cereal and grass forages;0
95.04;62.205387205387204;Cereal and grass forages;1
94.7;51.25659978880676;Cereal and grass forages;1
93.84;64.31159420289855;Cereal and grass forages;0
93.88;39.67831273966766;Cereal and grass forages;0
90.78999999999999;56.1295296838859;Cereal and grass forages;1
96.18;38.05364940736119;Legume forages;1
91.09;44.52739049291909;Cereal and grass forages;0
95.19;40.98119550372938;Cereal and grass forages;1
90.87;58.18201826785518;Cereal and grass forages;0
96.02;41.1789210581129;Legume forages;0
94.25;37.92042440318303;Cereal and grass forages;0
88.81;54.18308749014751;Cereal and grass forages;0
96.26;38.76999792229378;Legume forages;0
93.89;40.71786132708488;Cereal and grass forages;0
91.33;50.574838497755394;Cereal and grass forages;1
93.71;40.40123786148757;Cereal and grass forages;0
92.93;65.16733024857419;Cereal and grass forages;0
93.82;37.07098699637604;Cereal and grass forages;1
92.56;55.62878133102852;Cereal and grass forages;0
95.71;39.04503186709852;Legume forages;1
92.24;31.79748482220295;Cereal and grass forages;0
90.7;47.85005512679162;Cereal and grass forages;1
95.64;55.86574654956085;Cereal and grass forages;0
94.47;45.57002222927914;Cereal and grass forages;0
93.26;29.423118164271926;Cereal and grass forages;1
91.28;59.48729184925504;Cereal and grass forages;0
90.91;57.14442855571445;Cereal and grass forages;1
90.99;51.3353115727003;Legume forages;0
92.54;59.4013399610979;Forage trees;1
91.17;58.88998574092355;Forage trees;0
91.67;33.82786080506163;Legume forages;1
88.16;34.38067150635209;Legume forages;1
87.85;36.107000569151964;Legume forages;1
84.38;79.18938136999289;Cereal and grass forages;0
93.58;55.93075443470827;Legume forages;0
89.48;45.03799731783638;Forage trees;0
84.25;42.884272997032646;Legume forages;0
91.66;76.78376609207943;Cereal and grass forages;0
88.07;22.027932326558417;Cereal and grass forages;0
90.2;33.35920177383592;Legume forages;0
90.33;29.248311745820878;Legume forages;1
90.78;75.36902401410002;Cereal and grass forages;1
92.09;67.9226843305462;Cereal and grass forages;0
92.02;60.345577048467725;Cereal and grass forages;1
92.61;72.8862973760933;Cereal and grass forages;1
93.18;72.81605494741359;Cereal and grass forages;0
93.31;57.35719644196763;Cereal and grass forages;1
93.1;58.36734693877551;Cereal and grass forages;0
93.76;77.82636518771331;Cereal and grass forages;0
88.42;62.04478624745533;Cereal and grass forages;0
94.5;34.888888888888886;Legume forages;0
94.33;60.94561645287819;Cereal and grass forages;0
90.06;42.516100377526094;Legume forages;0
90.31;47.79094230982172;Legume forages;0
90.64;44.737422771403345;Legume forages;0
90.97;37.77069363526437;Legume forages;1
90.36;42.574147853032315;Legume forages;0
90.5;40.19889502762432;Legume forages;0
90.8;42.58810572687225;Legume forages;0
90.9;51.24312431243124;Legume forages;0
91.65;34.10801963993453;Legume forages;0
91.03;39.03108865209271;Legume forages;0
90.33;46.55153326691022;Legume forages;0
91.36;37.91593695271454;Legume forages;0
90.67;48.6379177236131;Legume forages;0
90.58;46.66593066902186;Legume forages;0
90.39;46.70870671534462;Legume forages;0
90.76;45.90127809607756;Legume forages;0
91.0;42.34065934065934;Legume forages;0
91.3;66.36363636363636;Legume forages;0
90.83;53.61664648243973;Legume forages;0
90.69;40.61087220200684;Legume forages;0
90.78;46.254681647940075;Legume forages;0
90.57;58.25328475212543;Legume forages;0
90.77;45.940288641621684;Legume forages;1
90.35;50.857775318206976;Legume forages;1
89.89;40.23806875069529;Legume forages;0
90.59;34.396732531184455;Legume forages;1
90.87;42.84142181137889;Legume forages;1
89.28;43.43637992831541;Legume forages;0
89.28;41.05062724014337;Legume forages;0
91.88;48.019155420113194;Legume forages;1
90.32;49.71213463241807;Legume forages;0
89.98;42.35385641253612;Legume forages;0
90.31;47.857380135090246;Legume forages;0
90.6;52.25165562913907;Legume forages;1
88.65;53.94247038917089;Legume forages;0
89.03999999999999;48.00089847259659;Legume forages;1
89.81;58.980069034628656;Legume forages;1
89.76;45.365418894830654;Legume forages;0
90.31;50.193776990366516;Legume forages;0
91.0;52.18681318681319;Legume forages;0
90.32;38.87289636846767;Legume forages;0
90.38;46.0942686435052;Legume forages;0
90.34;46.26964799645783;Legume forages;0
90.48;54.55349248452696;Legume forages;0
90.94;47.800747745766444;Legume forages;0
91.13;40.590365412048726;Legume forages;0
90.81;44.873912564695516;Legume forages;0
91.7;42.15921483097055;Legume forages;0
90.68;58.039258932509924;Legume forages;0
90.47;39.22847352713607;Legume forages;0
90.28999999999999;45.88548011961458;Legume forages;0
91.05;43.064250411861615;Legume forages;0
90.57;47.45500717676936;Legume forages;0
90.76;43.862935213750546;Legume forages;0
90.81;51.3489703777117;Legume forages;0
90.28999999999999;43.11662421087607;Legume forages;0
90.74;48.51223275292043;Legume forages;0
90.28;43.05494018608772;Legume forages;0
90.44;42.7686864219372;Legume forages;0
90.65;44.37948152233866;Legume forages;0
90.48;54.166666666666664;Legume forages;0
90.36;50.98494909251881;Legume forages;0
89.75;48.579387186629525;Legume forages;0
90.05;37.87895613548029;Legume forages;0
90.28999999999999;50.13844279543693;Legume forages;0
90.61;54.486259794724646;Legume forages;0
90.59;54.443095264377966;Legume forages;0
90.51;47.91735719809965;Legume forages;0
90.18;44.122865380350405;Legume forages;0
90.68;57.12395235994706;Legume forages;0
91.28;43.821209465381244;Legume forages;0
90.15;46.41153632834165;Legume forages;0
90.68;40.46096162329069;Legume forages;0
90.35;43.92916436081904;Legume forages;0
90.36;44.24524125719344;Legume forages;0
90.5;45.54696132596685;Legume forages;0
91.19;38.58975764886501;Legume forages;0
90.91;47.51952480475195;Legume forages;0
90.93;43.923897503574175;Legume forages;0
90.4;39.61283185840708;Legume forages;0
91.28999999999999;41.6694051922445;Legume forages;0
90.65;43.9161610590182;Legume forages;0
91.27;59.943026186041415;Legume forages;1
90.66;34.69005073902493;Legume forages;0
90.36;43.86896857016379;Legume forages;0
90.53999999999999;41.882041086812464;Legume forages;0
91.05;50.92806150466777;Legume forages;0
90.73;53.1577207097983;Legume forages;0
92.22;31.479071784862285;Legume forages;1
90.86;52.410301562843934;Legume forages;0
90.43;38.40539643923476;Legume forages;0
90.48;46.14279398762157;Legume forages;0
90.22;48.69208601197074;Legume forages;0
90.33;47.16041182331451;Legume forages;0
90.18;61.22200044355733;Legume forages;0
90.26;48.659428318191885;Legume forages;0
90.25;42.559556786703595;Legume forages;0
90.53;41.89771346514967;Legume forages;0
90.2;38.60310421286031;Legume forages;1
91.92;27.349869451697128;Legume forages;0
89.18;36.230096434178066;Legume forages;0
91.06;66.15418405446958;Cereal and grass forages;1
91.78999999999999;61.88037912626648;Cereal and grass forages;0
90.26;48.08331486815865;Cereal and grass forages;1
90.81;64.56337407774474;Cereal and grass forages;1
90.18;70.55888223552894;Cereal and grass forages;0
91.5;59.486338797814206;Cereal and grass forages;0
90.93;67.12856043110084;Cereal and grass forages;1
91.75;68.22888283378747;Cereal and grass forages;0
91.47;68.54706461134798;Cereal and grass forages;1
91.21000000000001;64.42276066220809;Cereal and grass forages;0
90.69;40.213915536442826;Cereal and grass forages;1
90.12;46.870838881491345;Cereal and grass forages;1
90.94;67.39608533098746;Cereal and grass forages;1
91.78999999999999;65.51911972981807;Cereal and grass forages;0
91.05;58.76990664470072;Cereal and grass forages;0
91.53;69.22320550639135;Cereal and grass forages;0
90.38;52.20181456074353;Cereal and grass forages;1
89.38;56.802416648019694;Cereal and grass forages;0
90.68;63.82884869872077;Cereal and grass forages;1
91.4;63.63238512035011;Cereal and grass forages;1
94.13719798428656;59.62620325315714;Cereal and grass forages;1
94.20327850887688;59.546072184009354;Cereal and grass forages;0
95.8280432091029;46.80419183759156;Cereal and grass forages;0
93.47767968049456;54.72948836133479;Cereal and grass forages;1
86.18009876093518;52.062802892218365;Cereal and grass forages;1
93.18172996844422;57.81668649565559;Cereal and grass forages;0
93.06436803211685;52.98033924308075;Cereal and grass forages;0
85.2091911205977;57.300186688834934;Cereal and grass forages;0
92.4748062996913;54.803401152554464;Cereal and grass forages;1
80.9033352580305;52.4789576119092;Cereal and grass forages;1
94.23755350789017;60.98738757041959;Cereal and grass forages;0
90.46648151964968;53.40506131304019;Cereal and grass forages;0
90.69466403989944;35.138449325404046;Legume forages;1
91.92120193735343;38.202338064254995;Forage trees;1
92.14697075469567;67.50348158292006;Forage trees;1
92.61992619926227;46.08337220292307;Legume forages;1
95.04080645807426;52.22157639828984;Forage trees;1
94.11234384571065;39.839230372992816;Forage trees;0
90.44417502479874;51.13583082240049;Forage trees;0
90.99031903850343;73.97560640181108;Cereal and grass forages;0
90.56171209464027;48.90913691567336;Cereal and grass forages;1
90.54091229867103;71.36011137873257;Cereal and grass forages;0
91.18948097652395;56.59954361277868;Cereal and grass forages;0
91.20846494591785;69.05194981637266;Cereal and grass forages;1
91.29370629370631;45.154438712841326;Forage trees;1
91.01712687871378;47.7742035269338;Forage trees;0
91.37131748168079;44.99276783506337;Forage trees;0
90.99130608574005;45.01678532949289;Forage trees;0
90.96487727000616;42.95079422166918;Forage trees;0
90.87819263257846;43.79933895437351;Forage trees;0
91.33473095737276;41.50911821540868;Forage trees;1
91.7114454594305;44.31376651248234;Forage trees;0
91.19924079716284;45.846783106260744;Forage trees;0
91.5579547158495;44.74870437024766;Forage trees;0
91.87599681020745;44.3513521078453;Forage trees;0
91.22535562765162;42.562169114233065;Forage trees;0
90.39726387792649;48.07135854899469;Forage trees;0
91.67165967645289;45.343908399758156;Forage trees;0
96.02461781386677;52.42695116229647;Legume forages;1
91.89619963141898;22.959435724677174;Legume forages;1
91.33649762677987;34.021225663062275;Legume forages;0
91.86679314993278;26.1331730925379;Legume forages;0
91.47576982582235;35.71112405578161;Legume forages;1
93.73034493086394;55.53583902046241;Legume forages;1
93.29670329670343;68.98118433395524;Legume forages;0
93.195443645084;39.10375641023553;Legume forages;0
93.1699760597099;48.88684794574349;Legume forages;0
93.2842136705333;34.64568924391239;Legume forages;1
